VT_1,VT_2,VT_3,VT_4,VT_5,VT_6,VT_7,VT_8,VT_9,VT_10,VT_11,VT_12,VT_13,VT_14,VT_15,VT_16,VT_17,VT_18,VT_19,VT_20,VT_21,VT_22,VT_23,VT_24,VT_25,VT_26,VT_27,VT_28,VT_29,VT_30,VT_31,VT_32,ZS,longitude,latitude,BLD_HEIGHT,X,Y,MNT
-0.60499,-0.60499,-1.15216,-0.27907,0.60944,0.84758,1.0086,0.86047,0.48208,0.33036,-1.24808,-2.03542,-2.50901,-1.48402,-0.70426,-1.38771,-1.50129,2.10527,3.09071,4.23893,4.79607,4.52394,4.6173,4.67229,5.03199,5.04416,3.74878,1.19245,-1.36224,-2.5338,-2.6216,-2.6216,51.74225,2.30865,48.84441,17.80833,649261.844,6860706.947,36.29000
-0.60501,-0.60501,-1.26491,-0.39009,0.51408,0.80849,0.96998,0.81944,0.35502,0.34708,-1.29179,-1.99322,-2.48608,-1.51465,-0.72413,-1.3767,-1.50511,2.08828,3.12467,4.19097,4.788,4.54717,4.64172,4.67686,5.01079,5.01045,3.72302,1.20154,-1.35955,-2.55076,-2.63649,-2.63649,59.08255,2.31719,48.8444,19.35556,649888.569,6860700.382,44.29000
-0.67456,-0.67456,-1.15985,-0.11738,0.53323,0.77655,0.9681,0.86559,0.28656,0.28759,-1.3642,-1.92628,-2.49627,-1.48975,-0.79274,-1.36341,-1.47732,2.03654,3.15259,4.14238,4.7512,4.55882,4.66528,4.68398,4.97798,4.98779,3.71179,1.21159,-1.35692,-2.56445,-2.65231,-2.65231,60.82822,2.32572,48.84439,16.72667,650514.561,6860693.891,45.40000
-0.79888,-0.79888,-1.04107,-0.24989,0.47464,0.86182,1.00933,0.88319,0.17576,0.21493,-1.4142,-1.8259,-2.52031,-1.43999,-0.81919,-1.33585,-1.50891,1.96085,3.17944,4.10442,4.70435,4.56167,4.67439,4.68471,4.95719,4.97245,3.68688,1.21604,-1.34906,-2.57524,-2.67035,-2.67035,60.40923,2.33425,48.84438,17.99111,651140.553,6860687.467,46.79000
-0.79917,-0.79917,-0.81022,-0.0563,0.5124,0.88538,1.01847,0.93785,0.16778,0.16089,-1.43908,-1.74408,-2.58452,-1.51197,-0.80509,-1.30573,-1.49548,1.91288,3.1962,4.09619,4.64633,4.57137,4.67377,4.68836,4.94646,4.94699,3.67093,1.21312,-1.34334,-2.57986,-2.68889,-2.68889,58.35671,2.34278,48.84437,18.275,651766.547,6860681.111,57.50000
-0.81907,-0.81907,-0.89685,-0.36089,0.42044,0.97243,1.05122,0.90971,0.14466,0.16499,-1.33548,-1.75464,-2.61925,-1.57724,-0.73622,-1.2895,-1.50251,1.85315,3.19286,4.1019,4.62545,4.59851,4.67656,4.68819,4.94694,4.92627,3.65819,1.20759,-1.33449,-2.57996,-2.707,-2.707,50.14018,2.35132,48.84436,17.00778,652393.275,6860674.816,55.00000
-0.70912,-0.70912,-0.81289,-0.10871,0.42843,0.97076,1.06832,0.89654,0.16563,0.01946,-1.18383,-1.7752,-2.66842,-1.62847,-0.70966,-1.27263,-1.57236,1.88371,3.17974,4.11563,4.62534,4.60254,4.68011,4.71235,4.94993,4.90909,3.65653,1.20553,-1.32583,-2.57987,-2.72545,-2.72545,42.34183,2.35985,48.84435,15.71667,653019.27,6860668.595,33.00000
-0.82817,-0.82817,-1.07868,-0.30902,0.33956,0.98114,1.11318,0.90535,0.18062,-0.11831,-1.11725,-1.79099,-2.62762,-1.62897,-0.63785,-1.23844,-1.59849,1.94443,3.12478,4.12945,4.61708,4.59811,4.67732,4.73389,4.94866,4.89778,3.64851,1.19497,-1.32144,-2.58359,-2.74133,-2.74133,36.67292,2.36838,48.84434,15.38889,653645.266,6860662.442,31.20000
-0.89565,-0.89565,-1.0788,-0.10327,0.28438,0.92902,1.10995,0.9058,0.17625,-0.21704,-1.0393,-1.84851,-2.58148,-1.57247,-0.56178,-1.24458,-1.54317,1.9474,3.0959,4.10165,4.62574,4.60696,4.66622,4.74109,4.94842,4.88548,3.63583,1.18356,-1.32103,-2.58872,-2.75582,-2.75582,39.73493,2.37692,48.84432,15.25667,654271.988,6860655.239,40.10000
-0.356,-0.356,-1.01417,-0.24152,0.62582,0.81315,0.95287,0.82472,0.65435,0.26557,-1.30593,-2.09206,-2.48999,-1.49719,-0.68247,-1.40443,-1.4482,2.09396,3.08741,4.23465,4.78629,4.54583,4.62624,4.6901,5.01775,5.04785,3.7427,1.17364,-1.37539,-2.54148,-2.62987,-2.62987,59.73813,2.30864,48.83879,20.0325,649255.638,6860082.07,49.40000
-0.49859,-0.49859,-1.20307,-0.48295,0.58703,0.80473,0.88756,0.75647,0.59005,0.2896,-1.25661,-2.09899,-2.45222,-1.53616,-0.73395,-1.40252,-1.43196,2.07923,3.14152,4.18505,4.76645,4.53816,4.64229,4.69627,5.01797,5.01048,3.71612,1.18053,-1.37312,-2.55746,-2.64467,-2.64467,66.2536,2.31717,48.83878,15.63333,649881.697,6860075.51,64.50000
-0.52388,-0.52388,-1.12808,-0.26985,0.53268,0.74449,0.86187,0.78988,0.5484,0.25125,-1.23948,-2.07784,-2.45285,-1.57574,-0.80652,-1.40889,-1.35632,1.98015,3.16633,4.14539,4.74902,4.53307,4.64875,4.70258,5.00367,4.98562,3.70047,1.19041,-1.36619,-2.57126,-2.66115,-2.66115,66.94821,2.32571,48.83877,16.465,650508.491,6860069.012,57.70000
-0.60486,-0.60486,-1.26063,-0.50864,0.5356,0.83533,0.91973,0.83189,0.47239,0.17038,-1.23426,-1.99809,-2.44344,-1.59717,-0.86515,-1.38004,-1.38219,1.8916,3.18489,4.11611,4.72409,4.54041,4.65418,4.70028,4.98317,4.97209,3.67954,1.1898,-1.35492,-2.58115,-2.68098,-2.68098,63.20238,2.33424,48.83876,16.17,651134.551,6860062.588,54.20000
-0.70257,-0.70257,-1.11853,-0.27322,0.48409,0.86006,1.00323,0.96399,0.43352,0.07667,-1.2432,-1.8971,-2.47828,-1.62058,-0.90593,-1.35954,-1.38026,1.83224,3.16997,4.12487,4.65162,4.55688,4.66662,4.70313,4.96683,4.95614,3.65903,1.18705,-1.34259,-2.57818,-2.70378,-2.70378,54.61469,2.34277,48.83875,16.41,651760.612,6860056.231,51.00000
-0.89261,-0.89261,-1.18275,-0.40409,0.53197,0.94425,1.01185,1.00987,0.37277,0.08213,-1.16857,-1.82056,-2.50374,-1.61346,-0.87719,-1.30305,-1.41125,1.80057,3.13895,4.17861,4.60769,4.56664,4.68565,4.70775,4.964,4.94188,3.64627,1.17215,-1.34139,-2.57412,-2.72226,-2.72226,51.20179,2.3513,48.83874,18.03,652386.674,6860049.942,35.50000
-0.90069,-0.90069,-1.10007,-0.25153,0.45111,0.92621,1.01974,0.97998,0.2871,0.02806,-1.04957,-1.77357,-2.52191,-1.62902,-0.87782,-1.28378,-1.50796,1.89751,3.13997,4.19437,4.60202,4.57947,4.69207,4.7264,4.97124,4.92847,3.63932,1.17495,-1.34268,-2.57623,-2.73768,-2.73768,51.38672,2.35983,48.83873,15.8325,653012.736,6860043.72,42.79000
-1.0599,-1.0599,-1.23475,-0.32261,0.60481,1.02651,1.02157,0.92055,0.23766,-0.01819,-1.03933,-1.72067,-2.50582,-1.57031,-0.81987,-1.2465,-1.55133,1.94564,3.10735,4.16545,4.5948,4.57943,4.68372,4.73974,4.97872,4.92259,3.63659,1.16921,-1.33864,-2.58258,-2.75113,-2.75113,41.70982,2.36836,48.83872,14.32833,653638.8,6860037.566,34.20000
-1.13615,-1.13615,-1.14686,-0.23296,0.46706,1.0066,1.02597,0.87976,0.2405,-0.07317,-1.08753,-1.70808,-2.48267,-1.47273,-0.7796,-1.23597,-1.52018,1.93314,3.08618,4.10693,4.59891,4.58629,4.67019,4.75182,4.97699,4.90802,3.62837,1.16399,-1.33784,-2.586,-2.76691,-2.76691,39.60138,2.3769,48.83871,14.0525,654265.598,6860031.474,33.09000
