WT_1,WT_2,WT_3,WT_4,WT_5,WT_6,WT_7,WT_8,WT_9,WT_10,WT_11,WT_12,WT_13,WT_14,WT_15,WT_16,WT_17,WT_18,WT_19,WT_20,WT_21,WT_22,WT_23,WT_24,WT_25,WT_26,WT_27,WT_28,WT_29,WT_30,WT_31,WT_32,ZS,longitude,latitude,BLD_HEIGHT,X,Y,MNT
0.00115,0.00115,0.02981,0.0607,0.03245,-0.00763,-0.0539,-0.05851,-0.04477,-0.00663,0.00087,0.06651,0.0097,0.12321,0.09312,-0.06593,-0.11914,0.05184,-0.08049,0.0317,0.05771,0.05606,-0.04955,-0.02069,0.03444,0.05652,0.04411,-0.0083,-0.0201,-0.00118,0.0094,"0",53.8506,2.33426,48.84719,15.22,651143.922,6860999.904,43.20000
0.01271,0.01271,0.01825,0.01169,-0.02221,-0.05013,-0.08111,-0.05971,0.01484,0.05532,0.00329,0.049,0.08268,0.17887,0.1491,-0.05228,-0.10086,0.03673,-0.08489,0.00474,0.04427,0.04981,-0.01269,0.00874,0.03978,0.06032,0.06056,-0.00043,-0.02851,-0.00547,0.01706,"0",57.23347,2.34279,48.84718,19.9225,651769.881,6860993.549,54.09000
0.03031,0.03031,0.02809,0.01437,-0.02553,-0.04517,-0.06195,-0.04346,0.0289,0.06293,0.04496,0.02061,0.08694,0.1721,0.12447,-0.07972,-0.07658,0.03288,-0.06802,-0.03191,0.00136,-0.07528,-0.04437,-0.00203,0.04078,0.08665,0.07742,0.00132,-0.04004,-0.02637,0.02721,"0",49.64919,2.35133,48.84717,19.03333,652396.576,6860987.254,40.79000
0.01406,0.01406,0.028,0.05073,0.06027,0.07269,0.05386,0.04046,0.05944,0.06378,0.03538,0.02831,0.07553,0.12635,0.12164,-0.00236,0.00171,0.00057,-0.01146,-0.05513,0.03776,-0.05883,-0.10331,-0.06808,0.02553,0.11027,0.09217,0.02348,-0.03339,-0.02819,0.03127,"0",38.85341,2.35986,48.84716,18.885,653022.537,6860981.034,33.90000
-0.00972,-0.00972,-0.00806,0.00619,-0.01867,-0.00938,-0.01025,-0.00682,0.0412,0.07948,0.02079,-0.0011,0.07662,0.09936,0.11485,0.01844,0.03593,-0.00844,0.02037,-0.0925,-0.0199,0.00135,-0.07223,-0.07498,0.02325,0.09362,0.08029,0.03943,-0.01961,-0.03219,0.01969,"0",38.01607,2.36839,48.84714,17.22333,653648.491,6860973.769,33.70000
-0.00854,-0.00854,-0.02266,-0.03038,-0.03131,-0.00483,0.00725,0.00704,0.03216,0.06705,0.01145,-0.01399,0.07527,0.06569,0.08141,-0.01682,-0.00262,-0.00704,0.03289,-0.07351,-0.06599,0.00388,-0.04232,-0.06439,0.01312,0.0736,0.07837,0.03538,-0.0071,-0.02956,0.00807,"0",41.00097,2.37692,48.84713,18.9775,654274.454,6860967.684,34.60000
-0.00922,-0.00922,0.0153,0.01582,0.03414,0.04661,0.03287,0.00504,-0.01696,0.01734,-0.00869,0.04097,0.00324,0.01274,-0.02565,-0.01767,-0.05632,0.01127,-0.01503,-0.00231,-0.06072,-0.10382,-0.05357,0.05211,0.08458,0.02684,-0.00553,-0.01864,-0.00645,0.01041,-0.00212,"0",51.74225,2.30865,48.8416,17.80833,649259.108,6860394.505,39.90000
-0.00173,-0.00173,0.02026,0.02936,-0.01516,-0.02133,-0.01916,-0.04199,-0.06518,0.02047,-0.01707,0.06033,-0.01839,-0.00473,-0.02866,-0.08063,-0.11531,0.00523,-0.01355,0.06694,-0.01504,-0.03875,-0.07254,0.01525,0.06602,0.04282,0.0048,-0.02523,-0.01552,0.01133,0.00201,"0",59.08255,2.31718,48.84159,19.35556,649885.133,6860387.946,52.50000
0.00736,0.00736,0.01416,0.03539,0.03708,0.02456,-0.00289,-0.03679,-0.06148,0.0226,-0.00945,0.10032,-0.00943,0.01588,-0.02193,-0.06504,-0.12966,0.02915,-0.05889,0.00682,0.02067,0.04848,-0.03459,-0.01804,0.03072,0.04495,0.00584,-0.02192,-0.02651,0.00675,0.00327,"0",60.82822,2.32571,48.84158,16.72667,650511.159,6860381.454,55.20000
0.00723,0.00723,0.03598,0.05471,0.00622,-0.00513,-0.01595,-0.03816,-0.05449,0.06001,0.01727,0.14747,0.05198,0.09507,0.02477,-0.03522,-0.09473,0.06819,-0.08606,-0.03271,-0.02842,0.09087,0.00501,-0.01142,0.03128,0.05716,0.0293,6e-05,-0.02515,4e-05,0.00361,"0",60.40923,2.33425,48.84157,17.99111,651137.919,6860375.024,54.29000
0.00935,0.00935,0.03576,0.03057,0.03748,0.0226,0.007,0.01145,0.01283,0.07667,-0.00807,0.15862,0.07834,0.1914,0.1362,0.00321,-0.1038,0.05444,-0.05186,-0.04076,-0.05416,0.01989,0.00331,0.00536,0.02292,0.05518,0.05491,0.01577,-0.03212,-0.00546,0.01484,"0",58.35671,2.34278,48.84156,18.275,651763.946,6860368.667,56.09000
0.02161,0.02161,0.03371,0.0331,0.01609,0.02684,0.02122,0.01371,0.03958,0.08863,0.0202,0.10449,0.05967,0.16309,0.12521,-0.02708,-0.04821,0.05235,-0.04911,-0.11436,-0.00914,-0.05572,-0.08663,-0.03116,0.02142,0.06038,0.06474,0.02616,-0.03803,-0.0206,0.02721,"0",50.14018,2.35131,48.84155,17.00778,652389.975,6860362.378,42.40000
0.02969,0.02969,0.02985,0.03685,0.04008,0.02346,-0.01399,-0.00891,0.02906,0.05247,0.07204,0.08111,0.07269,0.19354,0.1862,0.04687,0.02523,0.00779,-0.01032,-0.13979,0.03658,-0.05728,-0.13384,-0.08565,-0.00674,0.05917,0.07179,0.02546,-0.03526,-0.02416,0.02778,"0",42.34183,2.35984,48.84154,15.71667,653016.004,6860356.157,34.00000
0.0064,0.0064,-0.00936,0.01702,0.01886,0.06635,0.0714,0.03636,0.0273,0.01878,0.09255,0.06232,0.10245,0.17992,0.19237,0.06107,0.00954,-0.01846,0.02926,-0.05984,0.00819,0.00565,-0.07552,-0.07652,-0.02388,0.04641,0.07208,0.04197,-0.0164,-0.02549,0.01486,"0",36.67292,2.36837,48.84153,15.38889,653642.033,6860350.004,35.40000
-0.0113,-0.0113,-0.04084,-0.03054,-0.0165,0.01542,0.02017,0.00978,0.00351,0.01714,0.08371,-0.01387,0.1101,0.15765,0.20654,-0.01876,-0.0662,-0.03008,0.02716,-0.03277,-0.06337,0.01112,-0.02272,-0.06653,-0.04523,0.02253,0.05784,0.03738,-0.00718,-0.0256,0.0059,"0",39.73493,2.37691,48.84152,15.25667,654268.798,6860343.912,32.79000
